idCliente,idServidor,velocidad,distancia
251,256,300,2
252,256,900,8
253,256,300,4
254,256,300,10
255,256,300,6
258,262,300,3
259,262,600,1
260,262,600,10
261,262,300,5
263,264,600,1
265,268,600,9
266,268,900,9
267,268,600,1
269,270,900,8
271,274,300,2
272,274,600,8
273,274,300,3
275,282,600,3
276,282,300,9
277,282,600,2
278,282,600,7
279,282,600,4
280,282,900,9
281,282,600,3
283,290,600,7
284,290,300,6
285,290,900,8
286,290,900,5
287,290,600,2
288,290,900,6
289,290,300,5
3,55,2000,256
3,62,1000,793
3,64,3000,425
3,72,3000,898
3,74,1000,29
3,98,3000,620
3,111,1000,118
3,119,2000,401
3,120,3000,978
3,125,1000,253
3,131,2000,666
3,140,3000,881
3,143,2000,879
3,145,1000,325
3,147,2000,868
3,159,2000,884
3,169,2000,39
3,172,1000,269
3,175,3000,390
3,233,2000,328
3,262,3000,901
3,264,3000,680
3,290,2000,755
11,27,2000,543
11,31,2000,775
11,72,1000,349
11,98,2000,363
11,110,1000,96
11,120,2000,147
11,125,2000,944
11,129,3000,871
11,131,2000,91
11,147,1000,645
11,191,2000,265
11,205,3000,886
11,256,2000,309
11,262,3000,231
19,27,2000,972
19,55,3000,40
19,64,3000,112
19,72,1000,740
19,74,1000,927
19,101,3000,414
19,113,2000,760
19,114,2000,447
19,129,1000,401
19,131,3000,861
19,141,1000,132
19,143,3000,390
19,165,2000,597
19,188,2000,105
19,256,1000,199
19,257,2000,177
19,268,1000,656
19,270,2000,130
19,274,3000,316
19,282,1000,649
27,60,3000,777
27,78,2000,682
27,85,1000,201
27,98,1000,46
27,106,3000,122
27,141,2000,474
27,147,3000,177
27,169,2000,224
27,172,3000,760
27,175,1000,734
27,191,3000,851
27,193,3000,221
27,220,3000,537
27,282,1000,887
27,290,3000,1000
31,47,2000,479
31,56,1000,482
31,60,3000,586
31,64,2000,861
31,74,1000,978
31,81,2000,636
31,85,2000,480
31,111,1000,752
31,114,3000,324
31,120,3000,277
31,125,2000,349
31,135,3000,48
31,141,3000,140
31,145,2000,109
31,177,3000,738
31,179,3000,163
31,205,3000,280
31,236,2000,735
31,262,1000,458
31,268,3000,583
37,51,1000,380
37,74,2000,505
37,76,3000,349
37,129,1000,408
37,145,2000,949
37,179,3000,729
37,186,3000,532
37,195,1000,741
37,220,2000,202
37,233,3000,20
37,242,1000,295
37,264,2000,814
37,274,3000,225
47,51,3000,56
47,64,3000,625
47,98,3000,500
47,106,1000,134
47,119,2000,760
47,131,3000,16
47,145,3000,866
47,147,1000,197
47,171,1000,88
47,193,1000,486
47,205,3000,212
47,223,3000,205
47,235,2000,362
47,242,2000,637
47,264,1000,4
47,270,2000,770
47,274,3000,833
47,282,2000,702
51,76,2000,258
51,81,3000,476
51,97,3000,718
51,110,1000,571
51,111,2000,215
51,119,2000,810
51,131,1000,615
51,175,1000,1000
51,195,1000,499
51,235,1000,452
55,60,2000,893
55,119,2000,933
55,131,3000,197
55,140,3000,229
55,147,2000,896
55,172,3000,517
55,188,3000,854
55,257,2000,830
56,60,1000,458
56,62,2000,846
56,64,2000,737
56,72,1000,101
56,111,2000,176
56,113,3000,806
56,119,3000,562
56,129,3000,904
56,131,2000,868
56,141,1000,627
56,145,1000,896
56,177,3000,643
56,179,1000,232
56,191,1000,304
56,205,2000,357
56,223,2000,968
56,262,2000,397
56,264,2000,613
56,290,2000,56
60,97,1000,347
60,101,1000,373
60,125,3000,344
60,141,2000,509
60,143,2000,599
60,172,3000,505
60,175,3000,87
60,233,2000,434
60,240,3000,939
60,256,2000,710
60,257,3000,550
60,262,1000,998
60,290,1000,986
62,64,2000,441
62,76,1000,409
62,85,1000,368
62,101,2000,805
62,110,3000,278
62,113,3000,732
62,119,3000,779
62,131,2000,667
62,159,1000,103
62,165,1000,406
62,186,3000,50
62,193,3000,601
62,205,1000,874
64,98,3000,747
64,101,2000,686
64,106,1000,932
64,111,1000,673
64,119,3000,302
64,135,3000,852
64,140,1000,541
64,177,1000,80
64,220,3000,687
64,233,3000,60
64,262,1000,467
64,264,2000,344
64,268,3000,597
64,270,1000,709
64,282,3000,230
64,290,2000,543
72,78,1000,300
72,97,3000,131
72,106,3000,537
72,129,3000,528
72,141,2000,701
72,159,2000,507
72,165,1000,690
72,169,1000,886
72,175,3000,150
72,177,2000,151
72,179,2000,156
72,188,2000,697
72,191,1000,921
72,220,2000,450
72,264,3000,676
72,270,3000,986
72,282,3000,473
74,89,2000,389
74,106,2000,121
74,111,2000,248
74,129,2000,274
74,131,2000,82
74,159,2000,713
74,172,2000,802
74,191,3000,722
74,193,1000,669
74,205,3000,54
74,220,3000,243
74,235,2000,491
74,242,3000,960
74,282,1000,812
76,89,2000,573
76,98,2000,226
76,125,1000,367
76,131,2000,160
76,143,2000,593
76,205,1000,577
76,240,2000,568
76,242,1000,425
76,270,1000,1000
76,290,1000,540
78,81,2000,602
78,171,3000,287
78,175,2000,795
78,177,1000,689
78,186,3000,860
78,188,2000,715
78,264,1000,273
78,270,3000,435
78,290,1000,897
81,98,1000,164
81,129,2000,71
81,140,1000,465
81,159,2000,701
81,193,1000,369
81,205,3000,478
81,242,3000,758
85,97,1000,546
85,98,2000,30
85,106,3000,470
85,125,2000,380
85,129,3000,585
85,135,2000,237
85,172,1000,932
85,179,3000,436
85,188,3000,171
85,193,3000,639
85,223,3000,400
85,257,2000,959
85,264,1000,973
85,268,3000,378
89,111,1000,235
89,119,1000,22
89,141,1000,55
89,143,3000,617
89,159,1000,891
89,171,1000,355
89,177,3000,4
89,191,3000,707
89,205,2000,272
89,220,2000,930
89,235,2000,546
89,242,2000,769
89,264,3000,628
89,270,1000,2
89,290,1000,308
97,114,2000,342
97,119,2000,86
97,125,1000,576
97,141,3000,294
97,147,3000,814
97,175,2000,248
97,236,2000,215
97,282,2000,785
98,111,1000,957
98,114,3000,984
98,119,3000,16
98,131,1000,379
98,143,1000,277
98,171,2000,236
98,172,2000,6
98,175,1000,278
98,195,1000,780
98,205,2000,657
98,223,3000,512
98,240,1000,532
98,256,1000,603
98,282,2000,809
98,290,1000,459
101,120,2000,814
101,125,2000,235
101,141,1000,989
101,143,2000,811
101,177,2000,116
101,188,1000,343
101,195,2000,692
101,233,3000,782
101,240,2000,858
101,270,3000,504
106,129,1000,330
106,135,2000,857
106,147,2000,598
106,171,1000,87
106,172,1000,731
106,177,1000,179
106,188,1000,947
106,257,1000,532
106,270,2000,416
106,274,2000,441
106,282,3000,867
106,290,1000,931
110,140,3000,702
110,175,3000,625
110,177,2000,505
110,179,1000,893
110,220,2000,331
110,235,1000,361
110,240,2000,506
110,242,1000,398
110,264,3000,516
110,274,2000,445
111,114,2000,722
111,135,3000,761
111,140,3000,331
111,141,3000,73
111,159,2000,684
111,186,3000,865
111,233,2000,414
113,119,1000,376
113,125,1000,578
113,147,2000,877
113,175,1000,168
113,177,2000,804
113,179,3000,68
113,186,2000,780
113,205,1000,825
113,223,3000,471
113,233,2000,665
113,256,1000,165
113,268,1000,791
113,270,3000,948
113,282,1000,414
113,290,2000,522
114,119,3000,640
114,125,2000,49
114,129,3000,400
114,135,1000,350
114,141,3000,802
114,145,1000,65
114,171,1000,143
114,177,1000,674
114,235,2000,843
114,242,2000,678
114,257,1000,259
114,270,1000,324
119,131,2000,981
119,141,3000,422
119,143,1000,273
119,145,3000,746
119,169,3000,89
119,177,1000,789
119,186,1000,195
119,188,2000,285
119,193,1000,920
119,195,2000,588
119,205,3000,601
119,242,1000,963
119,256,1000,672
119,257,2000,150
119,274,3000,219
119,290,1000,636
120,125,3000,85
120,131,3000,351
120,141,3000,152
120,143,2000,435
120,145,2000,342
120,159,3000,49
120,171,1000,416
120,172,1000,539
120,186,3000,512
120,193,2000,271
120,235,1000,888
120,240,3000,501
120,257,1000,950
120,270,1000,936
125,143,3000,923
125,177,1000,331
125,186,1000,982
125,195,1000,848
125,223,3000,939
125,235,1000,410
125,242,1000,881
125,282,1000,748
129,135,3000,306
129,145,1000,872
129,159,3000,975
129,186,3000,297
129,240,2000,472
129,242,1000,366
129,256,1000,150
129,257,2000,579
131,145,3000,90
131,159,3000,613
131,165,2000,106
131,172,3000,276
131,233,3000,890
131,236,2000,834
131,262,3000,212
131,264,2000,328
131,270,3000,613
131,274,2000,128
135,141,2000,865
135,145,3000,925
135,147,1000,425
135,165,3000,378
135,175,2000,424
135,179,3000,734
135,195,1000,345
135,205,3000,970
135,235,1000,817
135,240,2000,691
135,274,3000,299
140,147,1000,414
140,165,2000,158
140,172,2000,161
140,177,2000,788
140,186,1000,130
140,193,3000,342
140,256,1000,803
140,290,3000,558
141,143,1000,866
141,171,2000,140
141,179,3000,484
141,188,1000,467
141,193,2000,634
141,195,2000,623
141,257,1000,999
141,274,1000,24
141,290,3000,950
143,159,2000,402
143,172,3000,871
143,175,1000,512
143,177,3000,856
143,186,1000,665
143,193,1000,853
143,195,2000,373
143,220,1000,328
143,223,3000,217
143,235,1000,582
143,257,3000,440
143,262,1000,348
143,268,1000,551
143,270,3000,954
143,274,2000,438
143,290,3000,814
145,169,1000,517
145,171,3000,98
145,186,3000,636
145,191,1000,528
145,193,2000,920
145,195,1000,26
145,220,2000,453
145,236,2000,715
145,257,2000,465
145,268,2000,273
147,186,3000,10
147,193,1000,373
147,205,2000,751
147,257,2000,441
147,264,2000,481
147,268,1000,844
147,270,1000,653
147,274,1000,743
159,169,2000,384
159,172,1000,586
159,175,2000,250
159,193,3000,496
159,235,3000,786
159,240,2000,995
159,242,1000,441
159,264,3000,306
159,268,1000,8
165,169,1000,921
165,220,3000,443
165,235,2000,95
165,240,1000,929
165,256,3000,407
165,257,3000,405
165,262,2000,699
165,270,3000,96
165,290,2000,262
169,172,3000,436
169,186,2000,705
169,193,2000,821
169,257,2000,702
169,262,1000,912
171,172,2000,356
171,175,3000,291
171,205,2000,149
171,220,1000,928
171,235,2000,309
171,256,3000,826
171,274,2000,935
171,290,3000,724
172,205,1000,804
172,235,3000,721
172,274,3000,858
175,186,1000,533
175,236,3000,179
175,240,3000,919
175,257,1000,103
175,274,1000,990
177,195,1000,551
177,236,3000,242
177,257,2000,402
177,290,2000,841
179,186,1000,736
179,193,1000,879
179,223,1000,598
179,235,1000,49
179,256,3000,773
179,264,3000,11
179,290,2000,26
186,188,2000,178
186,235,3000,372
186,242,1000,665
186,256,3000,8
186,257,3000,487
188,195,2000,552
188,242,1000,978
188,257,2000,9
191,193,1000,309
191,264,2000,598
193,195,3000,722
193,235,1000,885
193,262,1000,484
193,264,3000,116
193,282,3000,795
195,220,3000,248
195,233,1000,215
195,236,1000,584
195,256,1000,114
195,262,1000,152
205,233,1000,469
205,235,1000,795
205,236,1000,246
205,256,2000,788
205,262,3000,389
205,264,2000,111
205,268,3000,734
205,270,2000,673
220,223,3000,544
220,242,2000,408
220,256,3000,851
220,264,1000,727
220,274,3000,486
220,282,2000,496
223,235,3000,578
223,256,1000,594
223,257,3000,924
223,264,3000,226
233,240,3000,897
233,242,3000,743
233,262,2000,656
233,264,3000,245
235,274,3000,949
236,257,2000,870
236,268,2000,55
240,262,1000,604
240,264,3000,783
240,268,1000,758
240,270,3000,649
242,256,2000,869
242,262,3000,891
242,264,1000,26
256,264,1000,374
256,282,1000,92
257,262,2000,471
257,274,3000,716
257,282,3000,276
262,264,3000,549
262,290,1000,889
268,290,3000,85
270,282,1000,16
270,290,1000,77
282,290,1000,60
